Product Name,Product Category,Price,Tags
Smartphone X,Electronics,499.99,Bluetooth,Smartphone,Touchscreen
Wireless Earbuds,Electronics,79.99,Bluetooth,Audio,Wireless
Laptop Pro,Electronics,999.99,Laptop,Portable,High-Performance
Smart Watch,Electronics,199.99,Wearable,Bluetooth,Fitness
Bluetooth Speaker,Electronics,59.99,Bluetooth,Audio,Portable
Gaming Console,Electronics,399.99,Gaming,Console
LED TV,Electronics,599.99,TV,Smart,4K
Camera DSLR,Electronics,749.99,Camera,Photography
Tablet,Electronics,299.99,Tablet,Portable,Touchscreen
Smart Home Hub,Electronics,129.99,Smart Home,Bluetooth,Automation
Running Shoes,Apparel,89.99,Footwear,Fitness,Running
Winter Jacket,Apparel,149.99,Clothing,Winter,Warm
Yoga Mat,Fitness,29.99,Fitness,Yoga,Exercise
Dumbbells Set,Fitness,59.99,Fitness,Strength,Exercise
Treadmill,Fitness,499.99,Fitness,Cardio,Home-Gym
Coffee Maker,Home Appliances,79.99,Kitchen,Coffee,Appliance
Air Fryer,Home Appliances,99.99,Kitchen,Cooking,Appliance
Vacuum Cleaner,Home Appliances,199.99,Cleaning,Home,Appliance
Desk Lamp,Home Decor,39.99,Lighting,Home,Decor
Wall Art Print,Home Decor,49.99,Decor,Art,Home
Bluetooth Headphones,Electronics,129.99,Bluetooth,Audio,Wireless
Smart Thermostat,Electronics,149.99,Smart Home,Automation
Fitness Tracker,Electronics,69.99,Wearable,Fitness,Bluetooth
Portable Charger,Electronics,29.99,Portable,Charger,Electronics
Gaming Mouse,Electronics,49.99,Gaming,Peripheral
Sports Backpack,Apparel,59.99,Backpack,Fitness,Travel
Electric Kettle,Home Appliances,39.99,Kitchen,Appliance
Area Rug,Home Decor,89.99,Decor,Home,Rug
Resistance Bands,Fitness,19.99,Fitness,Exercise,Strength
Smart Light Bulb,Electronics,24.99,Smart Home,Lighting,Bluetooth
